p_fshy,description
K 09OD,"KING CRAB , POT GEAR VESSEL UNDER 60', ALEUTIAN ISLANDS CDQ, CVRF"
K 09OE,"KING CRAB , POT GEAR VESSEL UNDER 60', ALEUTIAN ISLANDS CDQ, NSEDC"
K 09OF,"KING CRAB , POT GEAR VESSEL UNDER 60', ALEUTIAN ISLANDS CDQ, YDFDA"
K 09OG,"KING CRAB , POT GEAR VESSEL UNDER 60', ALEUTIAN ISLANDS ACA, ACDC"
K 09Q,"KING CRAB , POT GEAR VESSEL UNDER 60', BERING SEA"
K 09QA,"KING CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, APICDA"
K 09QB,"KING CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, BBEDC"
K 09QC,"KING CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, CBSFA"
K 09QD,"KING CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, CVRF"
K 09QE,"KING CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, NSEDC"
K 09QF,"KING CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, YDFDA"
K 09T,"KING CRAB , POT GEAR VESSEL UNDER 60', BRISTOL BAY"
K 09TA,"KING CRAB , POT GEAR VESSEL UNDER 60', BRISTOL BAY CDQ, APICDA"
K 09TB,"KING CRAB , POT GEAR VESSEL UNDER 60', BRISTOL BAY CDQ, BBEDC"
K 09TC,"KING CRAB , POT GEAR VESSEL UNDER 60', BRISTOL BAY CDQ, CBSFA"
K 09TD,"KING CRAB , POT GEAR VESSEL UNDER 60', BRISTOL BAY CDQ, CVRF"
K 09TE,"KING CRAB , POT GEAR VESSEL UNDER 60', BRISTOL BAY CDQ, NSEDC"
K 09TF,"KING CRAB , POT GEAR VESSEL UNDER 60', BRISTOL BAY CDQ, YDFDA"
K 09X,"KING CRAB , POT GEAR VESSEL UNDER 60', KOTZEBUE"
K 09Z,"KING CRAB , POT GEAR VESSEL UNDER 60', NORTON SOUND"
K 09ZE,"KING CRAB , POT GEAR VESSEL UNDER 60', NORTON SOUND CDQ, NSEDC"
K 09ZF,"KING CRAB , POT GEAR VESSEL UNDER 60', NORTON SOUND CDQ, YDFDA"
K 19A,"RED/BLUE KING CRAB , POT GEAR, SOUTHEAST"
K 29A,"RED/BLUE/BROWN KING CRAB , POT GEAR, SOUTHEAST"
K 39A,"BROWN KING CRAB , POT GEAR, SOUTHEAST"
K 49A,"RED/BLUE KING/TANNER CRAB , POT GEAR, SOUTHEAST"
K 59A,"BROWN KING/TANNER CRAB , POT GEAR, SOUTHEAST"
K 69A,"RED/BLUE/BROWN KING/TANNER CRAB , POT GEAR, SOUTHEAST"
K 91D,"KING CRAB , POT GEAR VESSEL 60' OR OVER, YAKUTAT"
K 91E,"KING CRAB , POT GEAR VESSEL 60' OR OVER, PRINCE WILLIAM SOUND"
K 91H,"KING CRAB , POT GEAR VESSEL 60' OR OVER, COOK INLET"
K 91K,"KING CRAB , POT GEAR VESSEL 60' OR OVER, KODIAK"
K 91M,"KING CRAB , POT GEAR VESSEL 60' OR OVER, ALASKA PENINSULA"
K 91O,"KING CRAB , POT GEAR VESSEL 60' OR OVER, DUTCH HARBOR"
K 91OA,"KING CRAB , POT GEAR VESSEL 60' OR OVER, ALEUTIAN CDQ, APICDA"
K 91OB,"KING CRAB , POT GEAR VESSEL 60' OR OVER, ALEUTIAN CDQ, BBEDC"
K 91OC,"KING CRAB , POT GEAR VESSEL 60' OR OVER, ALEUTIAN CDQ, CBSFA"
K 91OD,"KING CRAB , POT GEAR VESSEL 60' OR OVER, ALEUTIAN CDQ, CVRF"
K 91OE,"KING CRAB , POT GEAR VESSEL 60' OR OVER, ALEUTIAN CDQ, NSEDC"
K 91OF,"KING CRAB , POT GEAR VESSEL 60' OR OVER, ALEUTIAN CDQ, YDFDA"
K 91OG,"KING CRAB , POT GEAR VESSEL 60' OR OVER, ALEUTIAN ISLANDS ACA, ACDC"
K 91Q,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA"
K 91QA,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, APICDA"
K 91QB,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, BBEDC"
K 91QC,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, CBSFA"
K 91QD,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, CVRF"
K 91QE,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, NSEDC"
K 91QF,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, YDFDA"
K 91T,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BRISTOL BAY"
K 91TA,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BRISTOL BAY CDQ, APICDA"
K 91TB,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BRISTOL BAY CDQ, BBEDC"
K 91TC,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BRISTOL BAY CDQ, CBSFA"
K 91TD,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BRISTOL BAY CDQ, CVRF"
K 91TE,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BRISTOL BAY CDQ, NSEDC"
K 91TF,"KING CRAB , POT GEAR VESSEL 60' OR OVER, BRISTOL BAY CDQ, YDFDA"
K 91X,"KING CRAB , POT GEAR VESSEL 60' OR OVER, KOTZEBUE"
K 91Z,"KING CRAB , POT GEAR VESSEL 60' OR OVER, NORTON SOUND"
L 12E,"HERRING SPAWN ON KELP , DIVE/HAND PICK, PRINCE WILLIAM SOUND"
L 12T,"HERRING SPAWN ON KELP , HAND PICK, BRISTOL BAY"
L 21A,"HERRING SPAWN ON KELP , POUND, NORTHERN SOUTHEAST"
L 21C,"HERRING SPAWN ON KELP , POUND, SOUTHERN SOUTHEAST"
L 21E,"HERRING SPAWN ON KELP , POUND, PRINCE WILLIAM SOUND"
M 01B,"MISC. SALTWATER FINFISH , PURSE SEINE, STATEWIDE"
M 01G,"MISC. SALTWATER FINFISH , PURSE SEINE, GOA"
M 02B,"MISC. SALTWATER FINFISH , BEACH SEINE, STATEWIDE"
M 02G,"MISC. SALTWATER FINFISH , BEACH SEINE, GOA"
M 05B,"MISC. SALTWATER FINFISH , HAND TROLL, STATEWIDE"
M 05G,"MISC. SALTWATER FINFISH , HAND TROLL, GOA"
M 06B,"MISC. SALTWATER FINFISH , LONGLINE VESSEL UNDER 60', STATEWIDE"
M 06G,"MISC. SALTWATER FINFISH , LONGLINE VESSEL UNDER 60', GOA"
M 09B,"MISC. SALTWATER FINFISH , POT GEAR VESSEL UNDER 60', STATEWIDE"
M 09G,"MISC. SALTWATER FINFISH , POT GEAR VESSEL UNDER 60', GOA"
M 17B,"MISC. SALTWATER FINFISH , BEAM TRAWL, STATEWIDE"
M 17G,"MISC. SALTWATER FINFISH , BEAM TRAWL, GOA"
M 25B,"MISC. SALTWATER FINFISH , DINGLEBAR TROLL, STATEWIDE"
M 25G,"MISC. SALTWATER FINFISH , DINGLEBAR TROLL, GOA"
M 26B,"MISC. SALTWATER FINFISH , MECHANICAL JIG, STATEWIDE"
M 26G,"MISC. SALTWATER FINFISH , MECHANICAL JIG, GOA"
M 37B,"MISC. SALTWATER FINFISH , PAIR TRAWL, STATEWIDE"
M 37G,"MISC. SALTWATER FINFISH , PAIR TRAWL, GOA"
M 6AB,"MISC. SALTWATER FINFISH , LONGLINE VESSEL 90' OR OVER, STATEWIDE"
M 6AG,"MISC. SALTWATER FINFISH , LONGLINE VESSEL 90' OR OVER, GOA"
M 6BB,"MISC. SALTWATER FINFISH , LONGLINE VESSEL 60' TO UNDER 90', STATEWIDE"
M 6BG,"MISC. SALTWATER FINFISH , LONGLINE VESSEL 60' TO UNDER 90', GOA"
M 7FB,"MISC. SALTWATER FINFISH , OTTER TRAWL VESSEL UNDER 60', STATEWIDE"
M 7FG,"MISC. SALTWATER FINFISH , OTTER TRAWL VESSEL UNDER 60', GOA"
M 7GB,"MISC. SALTWATER FINFISH , OTTER TRAWL VESSEL 60' TO UNDER 90', STATEWIDE"
M 7GG,"MISC. SALTWATER FINFISH , OTTER TRAWL VESSEL 60' TO UNDER 90', GOA"
M 7HB,"MISC. SALTWATER FINFISH , OTTER TRAWL VESSEL 90' TO 125', STATEWIDE"
M 7HG,"MISC. SALTWATER FINFISH , OTTER TRAWL VESSEL 90' TO 125', GOA"
M 7IB,"MISC. SALTWATER FINFISH , OTTER TRAWL VESSEL OVER 125', STATEWIDE"
M 7IG,"MISC. SALTWATER FINFISH , OTTER TRAWL VESSEL OVER 125', GOA"
M 91B,"MISC. SALTWATER FINFISH , POT GEAR VESSEL 60' OR OVER, STATEWIDE"
M 91G,"MISC. SALTWATER FINFISH , POT GEAR VESSEL 60' OR OVER, GOA"
M 99B,"MISC. SALTWATER FINFISH , OTHER GEAR, STATEWIDE"
N 09B,"SNAILS , POT GEAR VESSEL UNDER 60', STATEWIDE"
N 91B,"SNAILS , POT GEAR VESSEL 60' OR OVER, STATEWIDE"
N 99B,"SNAILS , OTHER GEAR, STATEWIDE"
O 06B,"OCTOPI/SQUID , LONGLINE VESSEL UNDER 60', STATEWIDE"
O 09B,"OCTOPI/SQUID , POT GEAR VESSEL UNDER 60', STATEWIDE"
O 26B,"OCTOPI/SQUID , MECHANICAL JIG, STATEWIDE"
O 61B,"OCTOPI/SQUID , LONGLINE VESSEL 60' OR OVER, STATEWIDE"
O 91B,"OCTOPI/SQUID , POT GEAR VESSEL 60' OR OVER, STATEWIDE"
O 99B,"OCTOPI/SQUID , OTHER GEAR, STATEWIDE"
P 07A,"SHRIMP , OTTER TRAWL, SOUTHEAST"
P 07D,"SHRIMP , OTTER TRAWL, YAKUTAT"
P 07E,"SHRIMP , OTTER TRAWL, PRINCE WILLIAM SOUND"
P 07H,"SHRIMP , OTTER TRAWL, COOK INLET"
P 07J,"SHRIMP , OTTER TRAWL, WESTWARD"
P 09D,"SHRIMP , POT GEAR VESSEL UNDER 60', YAKUTAT"
P 09E,"SHRIMP , POT GEAR VESSEL UNDER 60', PRINCE WILLIAM SOUND"
P 09H,"SHRIMP , POT GEAR VESSEL UNDER 60', COOK INLET"
P 09J,"SHRIMP , POT GEAR VESSEL UNDER 60', WESTWARD"
P 17A,"SHRIMP , BEAM TRAWL, SOUTHEAST"
P 17D,"SHRIMP , BEAM TRAWL, YAKUTAT"
P 17E,"SHRIMP , BEAM TRAWL, PRINCE WILLIAM SOUND"
P 17H,"SHRIMP , BEAM TRAWL, COOK INLET"
P 17J,"SHRIMP , BEAM TRAWL, WESTWARD"
P 91A,"SHRIMP , POT GEAR, SOUTHEAST"
P 91D,"SHRIMP , POT GEAR VESSEL 60' OR OVER, YAKUTAT"
P 91E,"SHRIMP , POT GEAR VESSEL 60' OR OVER, PRINCE WILLIAM SOUND"
P 91H,"SHRIMP , POT GEAR VESSEL 60' OR OVER, COOK INLET"
P 91J,"SHRIMP , POT GEAR VESSEL 60' OR OVER, WESTWARD"
Q 11A,"SEA CUCUMBER , DIVING GEAR, SOUTHEAST"
Q 11B,"SEA CUCUMBER , DIVING GEAR, STATEWIDE"
Q 11K,"SEA CUCUMBER , DIVING GEAR, KODIAK"
R 18B,"CLAMS , SHOVEL, STATEWIDE"
R 23B,"CLAMS , MECHANICAL DIGGER, STATEWIDE"
S 01A,"SALMON , PURSE SEINE, SOUTHEAST"
S 01E,"SALMON , PURSE SEINE, PRINCE WILLIAM SOUND"
S 01H,"SALMON , PURSE SEINE, COOK INLET"
S 01K,"SALMON , PURSE SEINE, KODIAK"
S 01L,"SALMON , PURSE SEINE, CHIGNIK"
S 01M,"SALMON , PURSE SEINE, ALASKA PENINSULA"
S 02K,"SALMON , BEACH SEINE, KODIAK"
S 03A,"SALMON , DRIFT GILLNET, SOUTHEAST"
S 03E,"SALMON , DRIFT GILLNET, PRINCE WILLIAM SOUND"
S 03H,"SALMON , DRIFT GILLNET, COOK INLET"
S 03M,"SALMON , DRIFT GILLNET, ALASKA PENINSULA"
S 03T,"SALMON , DRIFT GILLNET, BRISTOL BAY"
S 04D,"SALMON , SET GILLNET, YAKUTAT"
S 04E,"SALMON , SET GILLNET, PRINCE WILLIAM SOUND"
S 04F,"SALMON , SET GILLNET, ATKA/AMLIA ISLANDS"
S 04H,"SALMON , SET GILLNET, COOK INLET"
S 04K,"SALMON , SET GILLNET, KODIAK"
S 04M,"SALMON , SET GILLNET, ALASKA PENINSULA"
S 04P,"SALMON , GILLNET, UPPER YUKON"
S 04T,"SALMON , SET GILLNET, BRISTOL BAY"
S 04W,"SALMON , GILLNET, KUSKOKWIM"
S 04X,"SALMON , GILLNET, KOTZEBUE"
S 04Y,"SALMON , GILLNET, LOWER YUKON"
S 04Z,"SALMON , GILLNET, NORTON SOUND"
S 05B,"SALMON , HAND TROLL, STATEWIDE"
S 08P,"SALMON , FISH WHEEL, UPPER YUKON"
S 15B,"SALMON , POWER TROLL, STATEWIDE"
S 77A,"SALMON , SPECIAL HARVEST AREA , SOUTHEAST"
S 77E,"SALMON , SPECIAL HARVEST AREA , PRINCE WILLIAM SOUND"
S 77H,"SALMON , SPECIAL HARVEST AREA , COOK INLET"
S 77K,"SALMON , SPECIAL HARVEST AREA , KODIAK"
S 77T,"SALMON , SPECIAL HARVEST AREA , BRISTOL BAY"
S 77W,"SALMON , SPECIAL HARVEST AREA , KUSKOKWIM"
S 77Y,"SALMON , SPECIAL HARVEST AREA , LOWER YUKON"
T 09D,"TANNER CRAB , POT GEAR VESSEL UNDER 60', YAKUTAT"
T 09E,"TANNER CRAB , POT GEAR VESSEL UNDER 60', PRINCE WILLIAM SOUND"
T 09H,"TANNER CRAB , POT GEAR VESSEL UNDER 60', COOK INLET"
T 09K,"TANNER CRAB , POT GEAR VESSEL UNDER 60', KODIAK"
T 09L,"TANNER CRAB , POT GEAR VESSEL UNDER 60', CHIGNIK"
T 09M,"TANNER CRAB , POT GEAR VESSEL UNDER 60', ALASKA PENINSULA"
T 09O,"TANNER CRAB , POT GEAR VESSEL UNDER 60', DUTCH HARBOR"
T 09Q,"TANNER CRAB , POT GEAR VESSEL UNDER 60', BERING SEA"
T 09QA,"TANNER CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, APICDA"
T 09QB,"TANNER CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, BBEDC"
T 09QC,"TANNER CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, CBSFA"
T 09QD,"TANNER CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, CVRF"
T 09QE,"TANNER CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, NSEDC"
T 09QF,"TANNER CRAB , POT GEAR VESSEL UNDER 60', BERING SEA CDQ, YDFDA"
T 10A,"TANNER CRAB , RING NET, SOUTHEAST"
T 10D,"TANNER CRAB , RING NET, YAKUTAT"
T 19A,"TANNER CRAB , POT GEAR, SOUTHEAST"
T 91D,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, YAKUTAT"
T 91E,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, PRINCE WILLIAM SOUND"
T 91H,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, COOK INLET"
T 91K,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, KODIAK"
T 91M,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, ALASKA PENINSULA"
T 91O,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, DUTCH HARBOR"
T 91Q,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA"
T 91QA,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, APICDA"
T 91QB,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, BBEDC"
T 91QC,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, CBSFA"
T 91QD,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, CVRF"
T 91QE,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, NSEDC"
T 91QF,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, BERING SEA CDQ, YDFDA"
T 91R,"TANNER CRAB , POT GEAR VESSEL 60' OR OVER, ADAK"
TB9AK,"TANNER BAIRDI CRAB , POT GEAR VESSEL TO 120', KODIAK"
TB9BK,"TANNER BAIRDI CRAB , POT GEAR VESSEL UNDER 60', KODIAK"
U 11A,"SEA URCHIN , DIVING GEAR, SOUTHEAST"
U 11B,"SEA URCHIN , DIVING GEAR, STATEWIDE"
U 11K,"SEA URCHIN , DIVING GEAR, KODIAK"
W 2AB,"SCALLOPS , DREDGE, VESSEL OVER 80', STATEWIDE"
W 2ABV,"WEATHERVANE SCALLOPS , DREDGE, VESSEL PERMIT OVER 80', STATEWIDE"
W 2BB,"SCALLOPS DREDGE , VESSEL TO 80', STATEWIDE"
W 2BBV,"WEATHERVANE SCALLOPS , DREDGE, VESSEL PERMIT TO 80', STATEWIDE"
Y 05A,"DEMERSAL SHELF ROCKFISH , HAND TROLL, SOUTHEAST"
Y 06A,"DEMERSAL SHELF ROCKFISH , LONGLINE VESSEL UNDER 60', SOUTHEAST"
Y 25A,"DEMERSAL SHELF ROCKFISH , DINGLEBAR TROLL, SOUTHEAST"
Y 26A,"DEMERSAL SHELF ROCKFISH , MECHANICAL JIG, SOUTHEAST"
Y 61A,"DEMERSAL SHELF ROCKFISH , LONGLINE VESSEL 60' OR OVER, SOUTHEAST"
Y 99A,"DEMERSAL SHELF ROCKFISH , OTHER GEAR, SOUTHEAST"
Z 09B,"MISC. MARINE INVERTEBRATES , POT VESSEL UNDER 60', STATEWIDE"
Z 12B,"MISC. MARINE INVERTEBRATES , HAND PICK, STATEWIDE"
Z 99B,"MISC. MARINE INVERTEBRATES , OTHER GEAR, STATEWIDE"
